"g","t","value"
"O-","116","5"
"O-","117","5"
"O-","118","4"
"O-","119","4"
"O-","120","5"
"O-","121","5"
"O-","122","5"
"O-","123","4"
"O-","124","4"
"O-","125","4"
"O-","126","4"
"O-","127","5"
"O-","128","5"
"O-","129","5"
"O-","130","5"
"O-","131","5"
"O-","132","4"
"O-","133","4"
"O-","134","5"
"O-","135","5"
"O-","136","5"
"O-","137","4"
"O-","138","4"
"O-","139","4"
"O-","140","4"
"O-","141","5"
"O-","142","5"
"O-","143","5"
"O-","144","5"
"O-","145","5"
"O-","146","4"
"O-","147","4"
"O-","148","5"
"O-","149","5"
"O-","150","5"
"O-","151","4"
"O-","152","4"
"O-","153","4"
"O-","154","4"
"O-","155","5"
"O-","156","5"
"O-","157","5"
"O-","158","5"
"O-","159","5"
"O-","160","4"
"O-","161","4"
"O-","162","5"
"O-","163","5"
"O-","164","5"
"O-","165","4"
"O-","166","4"
"O-","167","4"
"O-","168","4"
"O-","169","5"
"O-","170","5"
"O-","171","5"
"O-","172","5"
"O-","173","5"
"O-","174","4"
"O-","175","4"
"O-","176","5"
"O-","177","5"
"O-","178","5"
"O-","179","4"
"O-","180","4"
"O-","181","4"
"O-","182","4"
"O-","183","5"
"O-","184","5"
"O-","185","5"
"O-","186","5"
"O-","187","5"
"O-","188","4"
"O-","189","4"
"O-","190","5"
"O-","191","5"
"O-","192","5"
"O-","193","4"
"O-","194","4"
"O-","195","4"
"O-","196","4"
"O-","197","5"
"O-","198","5"
"O-","199","5"
"O-","200","5"
"O-","201","5"
"O-","202","4"
"O-","203","4"
"O-","204","5"
"O-","205","5"
"O-","206","5"
"O-","207","4"
"O-","208","4"
"O-","209","4"
"O-","210","4"
"O-","211","5"
"O-","212","5"
"O-","213","5"
"O-","214","5"
"O-","215","5"
"O-","216","4"
"O-","217","4"
"O-","218","5"
"O-","219","5"
"O-","220","5"
"O-","221","4"
"O-","222","4"
"O-","223","4"
"O-","224","4"
"O-","225","5"
"O-","226","5"
"O-","227","5"
"O-","228","5"
"O-","229","5"
"O-","230","4"
"O-","231","4"
"O-","232","5"
"O-","233","5"
"O-","234","5"
"O-","235","4"
"O-","236","4"
"O-","237","4"
"O-","238","4"
"O-","239","5"
"O-","240","5"
"O-","241","5"
"O-","242","5"
"O-","243","5"
"O-","244","4"
"O-","245","4"
"O-","246","5"
"O-","247","5"
"O-","248","5"
"O-","249","4"
"O-","250","4"
"O-","251","4"
"O-","252","4"
"O-","253","5"
"O-","254","5"
"O-","255","5"
"O-","256","5"
"O-","257","5"
"O-","258","4"
"O-","259","4"
"O-","260","5"
"O-","261","5"
"O-","262","5"
"O-","263","4"
"O-","264","4"
"O-","265","4"
"O-","266","4"
"O-","267","5"
"O-","268","5"
"O-","269","5"
"O-","270","5"
"O-","271","5"
"O-","272","4"
"O-","273","4"
"O-","274","5"
"O-","275","5"
"O-","276","5"
"O-","277","4"
"O-","278","4"
"O-","279","4"
"O-","280","4"
"O-","281","5"
"O-","282","5"
"O-","283","5"
"O-","284","5"
"O-","285","5"
"O-","286","4"
"O-","287","4"
"O-","288","5"
"O-","289","5"
"O-","290","5"
"O-","291","4"
"O-","292","4"
"O-","293","4"
"O-","294","4"
"O-","295","5"
"O-","296","5"
"O-","297","5"
"O-","298","5"
"O-","299","5"
"O-","300","4"
"O-","301","4"
"O-","302","5"
"O-","303","5"
"O-","304","5"
"O-","305","4"
"O-","306","4"
"O-","307","4"
"O-","308","4"
"O-","309","5"
"O-","310","5"
"O-","311","5"
"O-","312","5"
"O-","313","5"
"O-","314","4"
"O-","315","4"
"O-","316","5"
"O-","317","5"
"O-","318","5"
"O-","319","4"
"O-","320","4"
"O-","321","4"
"O-","322","4"
"O-","323","5"
"O-","324","5"
"O-","325","5"
"O-","326","5"
"O-","327","5"
"O-","328","4"
"O-","329","4"
"O-","330","5"
"O-","331","5"
"O-","332","5"
"O-","333","4"
"O-","334","4"
"O-","335","4"
"O-","336","4"
"O-","337","5"
"O-","338","5"
"O-","339","5"
"O-","340","5"
"O-","341","5"
"O-","342","4"
"O-","343","4"
"O-","344","5"
"O-","345","5"
"O-","346","5"
"O-","347","4"
"O-","348","4"
"O-","349","4"
"O-","350","4"
"O-","351","5"
"O-","352","5"
"O-","353","5"
"O-","354","5"
"O-","355","5"
"O-","356","4"
"O-","357","4"
"O-","358","5"
"O-","359","5"
"O-","360","5"
"O-","361","4"
"O-","362","4"
"O-","363","4"
"O-","364","4"
"O-","365","5"
"O+","1","29"
"O+","2","29"
"O+","3","29"
"O+","4","29"
"O+","5","29"
"O+","6","18"
"O+","7","18"
"O+","8","29"
"O+","9","29"
"O+","10","29"
"O+","11","23"
"O+","12","23"
"O+","13","18"
"O+","14","18"
"O+","15","29"
"O+","16","29"
"O+","17","29"
"O+","18","29"
"O+","19","29"
"O+","20","18"
"O+","21","18"
"O+","22","29"
"O+","23","29"
"O+","24","29"
"O+","25","23"
"O+","26","23"
"O+","27","18"
"O+","28","18"
"O+","29","29"
"O+","30","29"
"O+","31","29"
"O+","32","29"
"O+","33","29"
"O+","34","18"
"O+","35","18"
"O+","36","29"
"O+","37","29"
"O+","38","29"
"O+","39","23"
"O+","40","23"
"O+","41","18"
"O+","42","18"
"O+","43","29"
"O+","44","29"
"O+","45","29"
"O+","46","29"
"O+","47","29"
"O+","48","18"
"O+","49","18"
"O+","50","29"
"O+","51","29"
"O+","52","29"
"O+","53","23"
"O+","54","23"
"O+","55","18"
"O+","56","18"
"O+","57","29"
"O+","58","29"
"O+","59","29"
"O+","60","29"
"O+","61","29"
"O+","62","18"
"O+","63","18"
"O+","64","29"
"O+","65","29"
"O+","66","29"
"O+","67","23"
"O+","68","23"
"O+","69","18"
"O+","70","18"
"O+","71","29"
"O+","72","29"
"O+","73","29"
"O+","74","29"
"O+","75","29"
"O+","76","18"
"O+","77","18"
"O+","78","29"
"O+","79","29"
"O+","80","29"
"O+","81","23"
"O+","82","23"
"O+","83","18"
"O+","84","18"
"O+","85","29"
"O+","86","29"
"O+","87","29"
"O+","88","29"
"O+","89","29"
"O+","90","18"
"O+","91","18"
"O+","92","29"
"O+","93","29"
"O+","94","29"
"O+","95","23"
"O+","96","23"
"O+","97","18"
"O+","98","18"
"O+","99","29"
"O+","100","29"
"O+","101","29"
"O+","102","29"
"O+","103","29"
"O+","104","18"
"O+","105","18"
"O+","106","29"
"O+","107","29"
"O+","108","29"
"O+","109","23"
"O+","110","23"
"O+","111","18"
"O+","112","18"
"O+","113","29"
"O+","114","29"
"O+","115","29"
"O+","116","29"
"O+","117","29"
"O+","118","18"
"O+","119","18"
"O+","120","29"
"O+","121","29"
"O+","122","29"
"O+","123","23"
"O+","124","23"
"O+","125","18"
"O+","126","18"
"O+","127","29"
"O+","128","29"
"O+","129","29"
"O+","130","29"
"O+","131","29"
"O+","132","18"
"O+","133","18"
"O+","134","29"
"O+","135","29"
"O+","136","29"
"O+","137","23"
"O+","138","23"
"O+","139","18"
"O+","140","18"
"O+","141","29"
"O+","142","29"
"O+","143","29"
"O+","144","29"
"O+","145","29"
"O+","146","18"
"O+","147","18"
"O+","148","29"
"O+","149","29"
"O+","150","29"
"O+","151","23"
"O+","152","23"
"O+","153","18"
"O+","154","18"
"O+","155","29"
"O+","156","29"
"O+","157","29"
"O+","158","29"
"O+","159","29"
"O+","160","18"
"O+","161","18"
"O+","162","29"
"O+","163","29"
"O+","164","29"
"O+","165","23"
"O+","166","23"
"O+","167","18"
"O+","168","18"
"O+","169","29"
"O+","170","29"
"O+","171","29"
"O+","172","29"
"O+","173","29"
"O+","174","18"
"O+","175","18"
"O+","176","29"
"O+","177","29"
"O+","178","29"
"O+","179","23"
"O+","180","23"
"O+","181","18"
"O+","182","18"
"O+","183","29"
"O+","184","29"
"O+","185","29"
"O+","186","29"
"O+","187","29"
"O+","188","18"
"O+","189","18"
"O+","190","29"
"O+","191","29"
"O+","192","29"
"O+","193","23"
"O+","194","23"
"O+","195","18"
"O+","196","18"
"O+","197","29"
"O+","198","29"
"O+","199","29"
"O+","200","29"
"O+","201","29"
"O+","202","18"
"O+","203","18"
"O+","204","29"
"O+","205","29"
"O+","206","29"
"O+","207","23"
"O+","208","23"
"O+","209","18"
"O+","210","18"
"O+","211","29"
"O+","212","29"
"O+","213","29"
"O+","214","29"
"O+","215","29"
"O+","216","18"
"O+","217","18"
"O+","218","29"
"O+","219","29"
"O+","220","29"
"O+","221","23"
"O+","222","23"
"O+","223","18"
"O+","224","18"
"O+","225","29"
"O+","226","29"
"O+","227","29"
"O+","228","29"
"O+","229","29"
"O+","230","18"
"O+","231","18"
"O+","232","29"
"O+","233","29"
"O+","234","29"
"O+","235","23"
"O+","236","23"
"O+","237","18"
"O+","238","18"
"O+","239","29"
"O+","240","29"
"O+","241","29"
"O+","242","29"
"O+","243","29"
"O+","244","18"
"O+","245","18"
"O+","246","29"
"O+","247","29"
"O+","248","29"
"O+","249","23"
"O+","250","23"
"O+","251","18"
"O+","252","18"
"O+","253","29"
"O+","254","29"
"O+","255","29"
"O+","256","29"
"O+","257","29"
"O+","258","18"
"O+","259","18"
"O+","260","29"
"O+","261","29"
"O+","262","29"
"O+","263","23"
"O+","264","23"
"O+","265","18"
"O+","266","18"
"O+","267","29"
"O+","268","29"
"O+","269","29"
"O+","270","29"
"O+","271","29"
"O+","272","18"
"O+","273","18"
"O+","274","29"
"O+","275","29"
"O+","276","29"
"O+","277","23"
"O+","278","23"
"O+","279","18"
"O+","280","18"
"O+","281","29"
"O+","282","29"
"O+","283","29"
"O+","284","29"
"O+","285","29"
"O+","286","18"
"O+","287","18"
"O+","288","29"
"O+","289","29"
"O+","290","29"
"O+","291","23"
"O+","292","23"
"O+","293","18"
"O+","294","18"
"O+","295","29"
"O+","296","29"
"O+","297","29"
"O+","298","29"
"O+","299","29"
"O+","300","18"
"O+","301","18"
"O+","302","29"
"O+","303","29"
"O+","304","29"
"O+","305","23"
"O+","306","23"
"O+","307","18"
"O+","308","18"
"O+","309","29"
"O+","310","29"
"O+","311","29"
"O+","312","29"
"O+","313","29"
"O+","314","18"
"O+","315","18"
"O+","316","29"
"O+","317","29"
"O+","318","29"
"O+","319","23"
"O+","320","23"
"O+","321","18"
"O+","322","18"
"O+","323","29"
"O+","324","29"
"O+","325","29"
"O+","326","29"
"O+","327","29"
"O+","328","18"
"O+","329","18"
"O+","330","29"
"O+","331","29"
"O+","332","29"
"O+","333","23"
"O+","334","23"
"O+","335","18"
"O+","336","18"
"O+","337","29"
"O+","338","29"
"O+","339","29"
"O+","340","29"
"O+","341","29"
"O+","342","18"
"O+","343","18"
"O+","344","29"
"O+","345","29"
"O+","346","29"
"O+","347","23"
"O+","348","23"
"O+","349","18"
"O+","350","18"
"O+","351","29"
"O+","352","29"
"O+","353","29"
"O+","354","29"
"O+","355","29"
"O+","356","18"
"O+","357","18"
"O+","358","29"
"O+","359","29"
"O+","360","29"
"O+","361","23"
"O+","362","23"
"O+","363","18"
"O+","364","18"
"O+","365","29"
"A-","1","4"
"A-","2","4"
"A-","3","4"
"A-","4","4"
"A-","5","4"
"A-","6","3"
"A-","7","3"
"A-","8","4"
"A-","9","4"
"A-","10","4"
"A-","11","4"
"A-","12","4"
"A-","13","3"
"A-","14","3"
"A-","15","4"
"A-","16","4"
"A-","17","4"
"A-","18","4"
"A-","19","4"
"A-","20","3"
"A-","21","3"
"A-","22","4"
"A-","23","4"
"A-","24","4"
"A-","25","4"
"A-","26","4"
"A-","27","3"
"A-","28","3"
"A-","29","4"
"A-","30","4"
"A-","31","4"
"A-","32","4"
"A-","33","4"
"A-","34","3"
"A-","35","3"
"A-","36","4"
"A-","37","4"
"A-","38","4"
"A-","39","4"
"A-","40","4"
"A-","41","3"
"A-","42","3"
"A-","43","4"
"A-","44","4"
"A-","45","4"
"A-","46","4"
"A-","47","4"
"A-","48","3"
"A-","49","3"
"A-","50","4"
"A-","51","4"
"A-","52","4"
"A-","53","4"
"A-","54","4"
"A-","55","3"
"A-","56","3"
"A-","57","4"
"A-","58","4"
"A-","59","4"
"A-","60","4"
"A-","61","4"
"A-","62","3"
"A-","63","3"
"A-","64","4"
"A-","65","4"
"A-","66","4"
"A-","67","4"
"A-","68","4"
"A-","69","3"
"A-","70","3"
"A-","71","4"
"A-","72","4"
"A-","73","4"
"A-","74","4"
"A-","75","4"
"A-","76","3"
"A-","77","3"
"A-","78","4"
"A-","79","4"
"A-","80","4"
"A-","81","4"
"A-","82","4"
"A-","83","3"
"A-","84","3"
"A-","85","4"
"A-","86","4"
"A-","87","4"
"A-","88","4"
"A-","89","4"
"A-","90","3"
"A-","91","3"
"A-","92","4"
"A-","93","4"
"A-","94","4"
"A-","95","4"
"A-","96","4"
"A-","97","3"
"A-","98","3"
"A-","99","4"
"A-","100","4"
"A-","101","4"
"A-","102","4"
"A-","103","4"
"A-","104","3"
"A-","105","3"
"A-","106","4"
"A-","107","4"
"A-","108","4"
"A-","109","4"
"A-","110","4"
"A-","111","3"
"A-","112","3"
"A-","113","4"
"A-","114","4"
"A-","115","4"
"A-","116","4"
"A-","117","4"
"A-","118","3"
"A-","119","3"
"A-","120","4"
"A-","121","4"
"A-","122","4"
"A-","123","4"
"A-","124","4"
"A-","125","3"
"A-","126","3"
"A-","127","4"
"A-","128","4"
"A-","129","4"
"A-","130","4"
"A-","131","4"
"A-","132","3"
"A-","133","3"
"A-","134","4"
"A-","135","4"
"A-","136","4"
"A-","137","4"
"A-","138","4"
"A-","139","3"
"A-","140","3"
"A-","141","4"
"A-","142","4"
"A-","143","4"
"A-","144","4"
"A-","145","4"
"A-","146","3"
"A-","147","3"
"A-","148","4"
"A-","149","4"
"A-","150","4"
"A-","151","4"
"A-","152","4"
"A-","153","3"
"A-","154","3"
"A-","155","4"
"A-","156","4"
"A-","157","4"
"A-","158","4"
"A-","159","4"
"A-","160","3"
"A-","161","3"
"A-","162","4"
"A-","163","4"
"A-","164","4"
"A-","165","4"
"A-","166","4"
"A-","167","3"
"A-","168","3"
"A-","169","4"
"A-","170","4"
"A-","171","4"
"A-","172","4"
"A-","173","4"
"A-","174","3"
"A-","175","3"
"A-","176","4"
"A-","177","4"
"A-","178","4"
"A-","179","4"
"A-","180","4"
"A-","181","3"
"A-","182","3"
"A-","183","4"
"A-","184","4"
"A-","185","4"
"A-","186","4"
"A-","187","4"
"A-","188","3"
"A-","189","3"
"A-","190","4"
"A-","191","4"
"A-","192","4"
"A-","193","4"
"A-","194","4"
"A-","195","3"
"A-","196","3"
"A-","197","4"
"A-","198","4"
"A-","199","4"
"A-","200","4"
"A-","201","4"
"A-","202","3"
"A-","203","3"
"A-","204","4"
"A-","205","4"
"A-","206","4"
"A-","207","4"
"A-","208","4"
"A-","209","3"
"A-","210","3"
"A-","211","4"
"A-","212","4"
"A-","213","4"
"A-","214","4"
"A-","215","4"
"A-","216","3"
"A-","217","3"
"A-","218","4"
"A-","219","4"
"A-","220","4"
"A-","221","4"
"A-","222","4"
"A-","223","3"
"A-","224","3"
"A-","225","4"
"A-","226","4"
"A-","227","4"
"A-","228","4"
"A-","229","4"
"A-","230","3"
"A-","231","3"
"A-","232","4"
"A-","233","4"
"A-","234","4"
"A-","235","4"
"A-","236","4"
"A-","237","3"
"A-","238","3"
"A-","239","4"
"A-","240","4"
"A-","241","4"
"A-","242","4"
"A-","243","4"
"A-","244","3"
"A-","245","3"
"A-","246","4"
"A-","247","4"
"A-","248","4"
"A-","249","4"
"A-","250","4"
"A-","251","3"
"A-","252","3"
"A-","253","4"
"A-","254","4"
"A-","255","4"
"A-","256","4"
"A-","257","4"
"A-","258","3"
"A-","259","3"
"A-","260","4"
"A-","261","4"
"A-","262","4"
"A-","263","4"
"A-","264","4"
"A-","265","3"
"A-","266","3"
"A-","267","4"
"A-","268","4"
"A-","269","4"
"A-","270","4"
"A-","271","4"
"A-","272","3"
"A-","273","3"
"A-","274","4"
"A-","275","4"
"A-","276","4"
"A-","277","4"
"A-","278","4"
"A-","279","3"
"A-","280","3"
"A-","281","4"
"A-","282","4"
"A-","283","4"
"A-","284","4"
"A-","285","4"
"A-","286","3"
"A-","287","3"
"A-","288","4"
"A-","289","4"
"A-","290","4"
"A-","291","4"
"A-","292","4"
"A-","293","3"
"A-","294","3"
"A-","295","4"
"A-","296","4"
"A-","297","4"
"A-","298","4"
"A-","299","4"
"A-","300","3"
"A-","301","3"
"A-","302","4"
"A-","303","4"
"A-","304","4"
"A-","305","4"
"A-","306","4"
"A-","307","3"
"A-","308","3"
"A-","309","4"
"A-","310","4"
"A-","311","4"
"A-","312","4"
"A-","313","4"
"A-","314","3"
"A-","315","3"
"A-","316","4"
"A-","317","4"
"A-","318","4"
"A-","319","4"
"A-","320","4"
"A-","321","3"
"A-","322","3"
"A-","323","4"
"A-","324","4"
"A-","325","4"
"A-","326","4"
"A-","327","4"
"A-","328","3"
"A-","329","3"
"A-","330","4"
"A-","331","4"
"A-","332","4"
"A-","333","4"
"A-","334","4"
"A-","335","3"
"A-","336","3"
"A-","337","4"
"A-","338","4"
"A-","339","4"
"A-","340","4"
"A-","341","4"
"A-","342","3"
"A-","343","3"
"A-","344","4"
"A-","345","4"
"A-","346","4"
"A-","347","4"
"A-","348","4"
"A-","349","3"
"A-","350","3"
"A-","351","4"
"A-","352","4"
"A-","353","4"
"A-","354","4"
"A-","355","4"
"A-","356","3"
"A-","357","3"
"A-","358","4"
"A-","359","4"
"A-","360","4"
"A-","361","4"
"A-","362","4"
"A-","363","3"
"A-","364","3"
"A-","365","4"
"A+","1","24"
"A+","2","24"
"A+","3","24"
"A+","4","24"
"A+","5","24"
"A+","6","18"
"A+","7","18"
"A+","8","24"
"A+","9","24"
"A+","10","24"
"A+","11","21"
"A+","12","21"
"A+","13","18"
"A+","14","18"
"A+","15","24"
"A+","16","24"
"A+","17","24"
"A+","18","24"
"A+","19","24"
"A+","20","18"
"A+","21","18"
"A+","22","24"
"A+","23","24"
"A+","24","24"
"A+","25","21"
"A+","26","21"
"A+","27","18"
"A+","28","18"
"A+","29","24"
"A+","30","24"
"A+","31","24"
"A+","32","24"
"A+","33","24"
"A+","34","18"
"A+","35","18"
"A+","36","24"
"A+","37","24"
"A+","38","24"
"A+","39","21"
"A+","40","21"
"A+","41","18"
"A+","42","18"
"A+","43","24"
"A+","44","24"
"A+","45","24"
"A+","46","24"
"A+","47","24"
"A+","48","18"
"A+","49","18"
"A+","50","24"
"A+","51","24"
"A+","52","24"
"A+","53","21"
"A+","54","21"
"A+","55","18"
"A+","56","18"
"A+","57","24"
"A+","58","24"
"A+","59","24"
"A+","60","24"
"A+","61","24"
"A+","62","18"
"A+","63","18"
"A+","64","24"
"A+","65","24"
"A+","66","24"
"A+","67","21"
"A+","68","21"
"A+","69","18"
"A+","70","18"
"A+","71","24"
"A+","72","24"
"A+","73","24"
"A+","74","24"
"A+","75","24"
"A+","76","18"
"A+","77","18"
"A+","78","24"
"A+","79","24"
"A+","80","24"
"A+","81","21"
"A+","82","21"
"A+","83","18"
"A+","84","18"
"A+","85","24"
"A+","86","24"
"A+","87","24"
"A+","88","24"
"A+","89","24"
"A+","90","18"
"A+","91","18"
"A+","92","24"
"A+","93","24"
"A+","94","24"
"A+","95","21"
"A+","96","21"
"A+","97","18"
"A+","98","18"
"A+","99","24"
"A+","100","24"
"A+","101","24"
"A+","102","24"
"A+","103","24"
"A+","104","18"
"A+","105","18"
"A+","106","24"
"A+","107","24"
"A+","108","24"
"A+","109","21"
"A+","110","21"
"A+","111","18"
"A+","112","18"
"A+","113","24"
"A+","114","24"
"A+","115","24"
"A+","116","24"
"A+","117","24"
"A+","118","18"
"A+","119","18"
"A+","120","24"
"A+","121","24"
"A+","122","24"
"A+","123","21"
"A+","124","21"
"A+","125","18"
"A+","126","18"
"A+","127","24"
"A+","128","24"
"A+","129","24"
"A+","130","24"
"A+","131","24"
"A+","132","18"
"A+","133","18"
"A+","134","24"
"A+","135","24"
"A+","136","24"
"A+","137","21"
"A+","138","21"
"A+","139","18"
"A+","140","18"
"A+","141","24"
"A+","142","24"
"A+","143","24"
"A+","144","24"
"A+","145","24"
"A+","146","18"
"A+","147","18"
"A+","148","24"
"A+","149","24"
"A+","150","24"
"A+","151","21"
"A+","152","21"
"A+","153","18"
"A+","154","18"
"A+","155","24"
"A+","156","24"
"A+","157","24"
"A+","158","24"
"A+","159","24"
"A+","160","18"
"A+","161","18"
"A+","162","24"
"A+","163","24"
"A+","164","24"
"A+","165","21"
"A+","166","21"
"A+","167","18"
"A+","168","18"
"A+","169","24"
"A+","170","24"
"A+","171","24"
"A+","172","24"
"A+","173","24"
"A+","174","18"
"A+","175","18"
"A+","176","24"
"A+","177","24"
"A+","178","24"
"A+","179","21"
"A+","180","21"
"A+","181","18"
"A+","182","18"
"A+","183","24"
"A+","184","24"
"A+","185","24"
"A+","186","24"
"A+","187","24"
"A+","188","18"
"A+","189","18"
"A+","190","24"
"A+","191","24"
"A+","192","24"
"A+","193","21"
"A+","194","21"
"A+","195","18"
"A+","196","18"
"A+","197","24"
"A+","198","24"
"A+","199","24"
"A+","200","24"
"A+","201","24"
"A+","202","18"
"A+","203","18"
"A+","204","24"
"A+","205","24"
"A+","206","24"
"A+","207","21"
"A+","208","21"
"A+","209","18"
"A+","210","18"
"A+","211","24"
"A+","212","24"
"A+","213","24"
"A+","214","24"
"A+","215","24"
"A+","216","18"
"A+","217","18"
"A+","218","24"
"A+","219","24"
"A+","220","24"
"A+","221","21"
"A+","222","21"
"A+","223","18"
"A+","224","18"
"A+","225","24"
"A+","226","24"
"A+","227","24"
"A+","228","24"
"A+","229","24"
"A+","230","18"
"A+","231","18"
"A+","232","24"
"A+","233","24"
"A+","234","24"
"A+","235","21"
"A+","236","21"
"A+","237","18"
"A+","238","18"
"A+","239","24"
"A+","240","24"
"A+","241","24"
"A+","242","24"
"A+","243","24"
"A+","244","18"
"A+","245","18"
"A+","246","24"
"A+","247","24"
"A+","248","24"
"A+","249","21"
"A+","250","21"
"A+","251","18"
"A+","252","18"
"A+","253","24"
"A+","254","24"
"A+","255","24"
"A+","256","24"
"A+","257","24"
"A+","258","18"
"A+","259","18"
"A+","260","24"
"A+","261","24"
"A+","262","24"
"A+","263","21"
"A+","264","21"
"A+","265","18"
"A+","266","18"
"A+","267","24"
"A+","268","24"
"A+","269","24"
"A+","270","24"
"A+","271","24"
"A+","272","18"
"A+","273","18"
"A+","274","24"
"A+","275","24"
"A+","276","24"
"A+","277","21"
"A+","278","21"
"A+","279","18"
"A+","280","18"
"A+","281","24"
"A+","282","24"
"A+","283","24"
"A+","284","24"
"A+","285","24"
"A+","286","18"
"A+","287","18"
"A+","288","24"
"A+","289","24"
"A+","290","24"
"A+","291","21"
"A+","292","21"
"A+","293","18"
"A+","294","18"
"A+","295","24"
"A+","296","24"
"A+","297","24"
"A+","298","24"
"A+","299","24"
"A+","300","18"
"A+","301","18"
"A+","302","24"
"A+","303","24"
"A+","304","24"
"A+","305","21"
"A+","306","21"
"A+","307","18"
"A+","308","18"
"A+","309","24"
"A+","310","24"
"A+","311","24"
"A+","312","24"
"A+","313","24"
"A+","314","18"
"A+","315","18"
"A+","316","24"
"A+","317","24"
"A+","318","24"
"A+","319","21"
"A+","320","21"
"A+","321","18"
"A+","322","18"
"A+","323","24"
"A+","324","24"
"A+","325","24"
"A+","326","24"
"A+","327","24"
"A+","328","18"
"A+","329","18"
"A+","330","24"
"A+","331","24"
"A+","332","24"
"A+","333","21"
"A+","334","21"
"A+","335","18"
"A+","336","18"
"A+","337","24"
"A+","338","24"
"A+","339","24"
"A+","340","24"
"A+","341","24"
"A+","342","18"
"A+","343","18"
"A+","344","24"
"A+","345","24"
"A+","346","24"
"A+","347","21"
"A+","348","21"
"A+","349","18"
"A+","350","18"
"A+","351","24"
"A+","352","24"
"A+","353","24"
"A+","354","24"
"A+","355","24"
"A+","356","18"
"A+","357","18"
"A+","358","24"
"A+","359","24"
"A+","360","24"
"A+","361","21"
"A+","362","21"
"A+","363","18"
"A+","364","18"
"A+","365","24"
"B-","1","1"
"B-","2","1"
"B-","3","1"
"B-","4","1"
"B-","5","1"
"B-","6","1"
"B-","7","1"
"B-","8","1"
"B-","9","1"
"B-","10","1"
"B-","11","1"
"B-","12","1"
"B-","13","1"
"B-","14","1"
"B-","15","1"
"B-","16","1"
"B-","17","1"
"B-","18","1"
"B-","19","1"
"B-","20","1"
"B-","21","1"
"B-","22","1"
"B-","23","1"
"B-","24","1"
"B-","25","1"
"B-","26","1"
"B-","27","1"
"B-","28","1"
"B-","29","1"
"B-","30","1"
"B-","31","1"
"B-","32","1"
"B-","33","1"
"B-","34","1"
"B-","35","1"
"B-","36","1"
"B-","37","1"
"B-","38","1"
"B-","39","1"
"B-","40","1"
"B-","41","1"
"B-","42","1"
"B-","43","1"
"B-","44","1"
"B-","45","1"
"B-","46","1"
"B-","47","1"
"B-","48","1"
"B-","49","1"
"B-","50","1"
"B-","51","1"
"B-","52","1"
"B-","53","1"
"B-","54","1"
"B-","55","1"
"B-","56","1"
"B-","57","1"
"B-","58","1"
"B-","59","1"
"B-","60","1"
"B-","61","1"
"B-","62","1"
"B-","63","1"
"B-","64","1"
"B-","65","1"
"B-","66","1"
"B-","67","1"
"B-","68","1"
"B-","69","1"
"B-","70","1"
"B-","71","1"
"B-","72","1"
"B-","73","1"
"B-","74","1"
"B-","75","1"
"B-","76","1"
"B-","77","1"
"B-","78","1"
"B-","79","1"
"B-","80","1"
"B-","81","1"
"B-","82","1"
"B-","83","1"
"B-","84","1"
"B-","85","1"
"B-","86","1"
"B-","87","1"
"B-","88","1"
"B-","89","1"
"B-","90","1"
"B-","91","1"
"B-","92","1"
"B-","93","1"
