"h","g","t","value"
"H_TRAUMA","O-","100","3"
"H_TRAUMA","O-","101","3"
"H_TRAUMA","O-","102","3"
"H_TRAUMA","O-","103","3"
"H_TRAUMA","O-","104","2"
"H_TRAUMA","O-","105","2"
"H_TRAUMA","O-","106","3"
"H_TRAUMA","O-","107","4"
"H_TRAUMA","O-","108","4"
"H_TRAUMA","O-","109","3"
"H_TRAUMA","O-","110","3"
"H_TRAUMA","O-","111","2"
"H_TRAUMA","O-","112","2"
"H_TRAUMA","O-","113","3"
"H_TRAUMA","O-","114","3"
"H_TRAUMA","O-","115","3"
"H_TRAUMA","O-","116","3"
"H_TRAUMA","O-","117","3"
"H_TRAUMA","O-","118","2"
"H_TRAUMA","O-","119","2"
"H_TRAUMA","O-","120","3"
"H_TRAUMA","O-","121","4"
"H_TRAUMA","O-","122","4"
"H_TRAUMA","O-","123","3"
"H_TRAUMA","O-","124","3"
"H_TRAUMA","O-","125","2"
"H_TRAUMA","O-","126","2"
"H_TRAUMA","O-","127","3"
"H_TRAUMA","O-","128","3"
"H_TRAUMA","O-","129","3"
"H_TRAUMA","O-","130","3"
"H_TRAUMA","O-","131","3"
"H_TRAUMA","O-","132","2"
"H_TRAUMA","O-","133","2"
"H_TRAUMA","O-","134","3"
"H_TRAUMA","O-","135","4"
"H_TRAUMA","O-","136","4"
"H_TRAUMA","O-","137","3"
"H_TRAUMA","O-","138","3"
"H_TRAUMA","O-","139","2"
"H_TRAUMA","O-","140","2"
"H_TRAUMA","O-","141","3"
"H_TRAUMA","O-","142","3"
"H_TRAUMA","O-","143","3"
"H_TRAUMA","O-","144","3"
"H_TRAUMA","O-","145","3"
"H_TRAUMA","O-","146","2"
"H_TRAUMA","O-","147","2"
"H_TRAUMA","O-","148","3"
"H_TRAUMA","O-","149","4"
"H_TRAUMA","O-","150","4"
"H_TRAUMA","O-","151","3"
"H_TRAUMA","O-","152","3"
"H_TRAUMA","O-","153","2"
"H_TRAUMA","O-","154","2"
"H_TRAUMA","O-","155","3"
"H_TRAUMA","O-","156","3"
"H_TRAUMA","O-","157","3"
"H_TRAUMA","O-","158","3"
"H_TRAUMA","O-","159","3"
"H_TRAUMA","O-","160","2"
"H_TRAUMA","O-","161","2"
"H_TRAUMA","O-","162","3"
"H_TRAUMA","O-","163","4"
"H_TRAUMA","O-","164","4"
"H_TRAUMA","O-","165","3"
"H_TRAUMA","O-","166","3"
"H_TRAUMA","O-","167","2"
"H_TRAUMA","O-","168","2"
"H_TRAUMA","O-","169","3"
"H_TRAUMA","O-","170","3"
"H_TRAUMA","O-","171","3"
"H_TRAUMA","O-","172","3"
"H_TRAUMA","O-","173","3"
"H_TRAUMA","O-","174","2"
"H_TRAUMA","O-","175","2"
"H_TRAUMA","O-","176","3"
"H_TRAUMA","O-","177","4"
"H_TRAUMA","O-","178","4"
"H_TRAUMA","O-","179","3"
"H_TRAUMA","O-","180","3"
"H_TRAUMA","O-","181","2"
"H_TRAUMA","O-","182","2"
"H_TRAUMA","O-","183","3"
"H_TRAUMA","O-","184","3"
"H_TRAUMA","O-","185","3"
"H_TRAUMA","O-","186","3"
"H_TRAUMA","O-","187","3"
"H_TRAUMA","O-","188","2"
"H_TRAUMA","O-","189","2"
"H_TRAUMA","O-","190","3"
"H_TRAUMA","O-","191","4"
"H_TRAUMA","O-","192","4"
"H_TRAUMA","O-","193","3"
"H_TRAUMA","O-","194","3"
"H_TRAUMA","O-","195","2"
"H_TRAUMA","O-","196","2"
"H_TRAUMA","O-","197","3"
"H_TRAUMA","O-","198","3"
"H_TRAUMA","O-","199","3"
"H_TRAUMA","O-","200","3"
"H_TRAUMA","O-","201","3"
"H_TRAUMA","O-","202","2"
"H_TRAUMA","O-","203","2"
"H_TRAUMA","O-","204","3"
"H_TRAUMA","O-","205","4"
"H_TRAUMA","O-","206","4"
"H_TRAUMA","O-","207","3"
"H_TRAUMA","O-","208","3"
"H_TRAUMA","O-","209","2"
"H_TRAUMA","O-","210","2"
"H_TRAUMA","O-","211","3"
"H_TRAUMA","O-","212","3"
"H_TRAUMA","O-","213","3"
"H_TRAUMA","O-","214","3"
"H_TRAUMA","O-","215","3"
"H_TRAUMA","O-","216","2"
"H_TRAUMA","O-","217","2"
"H_TRAUMA","O-","218","3"
"H_TRAUMA","O-","219","4"
"H_TRAUMA","O-","220","4"
"H_TRAUMA","O-","221","3"
"H_TRAUMA","O-","222","3"
"H_TRAUMA","O-","223","2"
"H_TRAUMA","O-","224","2"
"H_TRAUMA","O-","225","3"
"H_TRAUMA","O-","226","3"
"H_TRAUMA","O-","227","3"
"H_TRAUMA","O-","228","3"
"H_TRAUMA","O-","229","3"
"H_TRAUMA","O-","230","2"
"H_TRAUMA","O-","231","2"
"H_TRAUMA","O-","232","3"
"H_TRAUMA","O-","233","4"
"H_TRAUMA","O-","234","4"
"H_TRAUMA","O-","235","3"
"H_TRAUMA","O-","236","3"
"H_TRAUMA","O-","237","2"
"H_TRAUMA","O-","238","2"
"H_TRAUMA","O-","239","3"
"H_TRAUMA","O-","240","3"
"H_TRAUMA","O-","241","3"
"H_TRAUMA","O-","242","3"
"H_TRAUMA","O-","243","3"
"H_TRAUMA","O-","244","2"
"H_TRAUMA","O-","245","2"
"H_TRAUMA","O-","246","3"
"H_TRAUMA","O-","247","4"
"H_TRAUMA","O-","248","4"
"H_TRAUMA","O-","249","3"
"H_TRAUMA","O-","250","3"
"H_TRAUMA","O-","251","2"
"H_TRAUMA","O-","252","2"
"H_TRAUMA","O-","253","3"
"H_TRAUMA","O-","254","3"
"H_TRAUMA","O-","255","3"
"H_TRAUMA","O-","256","3"
"H_TRAUMA","O-","257","3"
"H_TRAUMA","O-","258","2"
"H_TRAUMA","O-","259","2"
"H_TRAUMA","O-","260","3"
"H_TRAUMA","O-","261","4"
"H_TRAUMA","O-","262","4"
"H_TRAUMA","O-","263","3"
"H_TRAUMA","O-","264","3"
"H_TRAUMA","O-","265","2"
"H_TRAUMA","O-","266","2"
"H_TRAUMA","O-","267","3"
"H_TRAUMA","O-","268","3"
"H_TRAUMA","O-","269","3"
"H_TRAUMA","O-","270","3"
"H_TRAUMA","O-","271","3"
"H_TRAUMA","O-","272","2"
"H_TRAUMA","O-","273","2"
"H_TRAUMA","O-","274","3"
"H_TRAUMA","O-","275","4"
"H_TRAUMA","O-","276","4"
"H_TRAUMA","O-","277","3"
"H_TRAUMA","O-","278","3"
"H_TRAUMA","O-","279","2"
"H_TRAUMA","O-","280","2"
"H_TRAUMA","O-","281","3"
"H_TRAUMA","O-","282","3"
"H_TRAUMA","O-","283","3"
"H_TRAUMA","O-","284","3"
"H_TRAUMA","O-","285","3"
"H_TRAUMA","O-","286","2"
"H_TRAUMA","O-","287","2"
"H_TRAUMA","O-","288","3"
"H_TRAUMA","O-","289","4"
"H_TRAUMA","O-","290","4"
"H_TRAUMA","O-","291","3"
"H_TRAUMA","O-","292","3"
"H_TRAUMA","O-","293","2"
"H_TRAUMA","O-","294","2"
"H_TRAUMA","O-","295","3"
"H_TRAUMA","O-","296","3"
"H_TRAUMA","O-","297","3"
"H_TRAUMA","O-","298","3"
"H_TRAUMA","O-","299","3"
"H_TRAUMA","O-","300","2"
"H_TRAUMA","O-","301","2"
"H_TRAUMA","O-","302","3"
"H_TRAUMA","O-","303","4"
"H_TRAUMA","O-","304","4"
"H_TRAUMA","O-","305","3"
"H_TRAUMA","O-","306","3"
"H_TRAUMA","O-","307","2"
"H_TRAUMA","O-","308","2"
"H_TRAUMA","O-","309","3"
"H_TRAUMA","O-","310","3"
"H_TRAUMA","O-","311","3"
"H_TRAUMA","O-","312","3"
"H_TRAUMA","O-","313","3"
"H_TRAUMA","O-","314","2"
"H_TRAUMA","O-","315","2"
"H_TRAUMA","O-","316","3"
"H_TRAUMA","O-","317","4"
"H_TRAUMA","O-","318","4"
"H_TRAUMA","O-","319","3"
"H_TRAUMA","O-","320","3"
"H_TRAUMA","O-","321","2"
"H_TRAUMA","O-","322","2"
"H_TRAUMA","O-","323","3"
"H_TRAUMA","O-","324","3"
"H_TRAUMA","O-","325","3"
"H_TRAUMA","O-","326","3"
"H_TRAUMA","O-","327","3"
"H_TRAUMA","O-","328","2"
"H_TRAUMA","O-","329","2"
"H_TRAUMA","O-","330","3"
"H_TRAUMA","O-","331","4"
"H_TRAUMA","O-","332","4"
"H_TRAUMA","O-","333","3"
"H_TRAUMA","O-","334","3"
"H_TRAUMA","O-","335","2"
"H_TRAUMA","O-","336","2"
"H_TRAUMA","O-","337","3"
"H_TRAUMA","O-","338","3"
"H_TRAUMA","O-","339","3"
"H_TRAUMA","O-","340","3"
"H_TRAUMA","O-","341","3"
"H_TRAUMA","O-","342","2"
"H_TRAUMA","O-","343","2"
"H_TRAUMA","O-","344","3"
"H_TRAUMA","O-","345","4"
"H_TRAUMA","O-","346","4"
"H_TRAUMA","O-","347","3"
"H_TRAUMA","O-","348","3"
"H_TRAUMA","O-","349","2"
"H_TRAUMA","O-","350","2"
"H_TRAUMA","O-","351","3"
"H_TRAUMA","O-","352","3"
"H_TRAUMA","O-","353","3"
"H_TRAUMA","O-","354","3"
"H_TRAUMA","O-","355","3"
"H_TRAUMA","O-","356","2"
"H_TRAUMA","O-","357","2"
"H_TRAUMA","O-","358","3"
"H_TRAUMA","O-","359","4"
"H_TRAUMA","O-","360","4"
"H_TRAUMA","O-","361","3"
"H_TRAUMA","O-","362","3"
"H_TRAUMA","O-","363","2"
"H_TRAUMA","O-","364","2"
"H_TRAUMA","O-","365","3"
"H_TRAUMA","O+","1","15"
"H_TRAUMA","O+","2","15"
"H_TRAUMA","O+","3","15"
"H_TRAUMA","O+","4","15"
"H_TRAUMA","O+","5","15"
"H_TRAUMA","O+","6","11"
"H_TRAUMA","O+","7","11"
"H_TRAUMA","O+","8","15"
"H_TRAUMA","O+","9","18"
"H_TRAUMA","O+","10","18"
"H_TRAUMA","O+","11","15"
"H_TRAUMA","O+","12","15"
"H_TRAUMA","O+","13","11"
"H_TRAUMA","O+","14","11"
"H_TRAUMA","O+","15","15"
"H_TRAUMA","O+","16","15"
"H_TRAUMA","O+","17","15"
"H_TRAUMA","O+","18","15"
"H_TRAUMA","O+","19","15"
"H_TRAUMA","O+","20","11"
"H_TRAUMA","O+","21","11"
"H_TRAUMA","O+","22","15"
"H_TRAUMA","O+","23","18"
"H_TRAUMA","O+","24","18"
"H_TRAUMA","O+","25","15"
"H_TRAUMA","O+","26","15"
"H_TRAUMA","O+","27","11"
"H_TRAUMA","O+","28","11"
"H_TRAUMA","O+","29","15"
"H_TRAUMA","O+","30","15"
"H_TRAUMA","O+","31","15"
"H_TRAUMA","O+","32","15"
"H_TRAUMA","O+","33","15"
"H_TRAUMA","O+","34","11"
"H_TRAUMA","O+","35","11"
"H_TRAUMA","O+","36","15"
"H_TRAUMA","O+","37","18"
"H_TRAUMA","O+","38","18"
"H_TRAUMA","O+","39","15"
"H_TRAUMA","O+","40","15"
"H_TRAUMA","O+","41","11"
"H_TRAUMA","O+","42","11"
"H_TRAUMA","O+","43","15"
"H_TRAUMA","O+","44","15"
"H_TRAUMA","O+","45","15"
"H_TRAUMA","O+","46","15"
"H_TRAUMA","O+","47","15"
"H_TRAUMA","O+","48","11"
"H_TRAUMA","O+","49","11"
"H_TRAUMA","O+","50","15"
"H_TRAUMA","O+","51","18"
"H_TRAUMA","O+","52","18"
"H_TRAUMA","O+","53","15"
"H_TRAUMA","O+","54","15"
"H_TRAUMA","O+","55","11"
"H_TRAUMA","O+","56","11"
"H_TRAUMA","O+","57","15"
"H_TRAUMA","O+","58","15"
"H_TRAUMA","O+","59","15"
"H_TRAUMA","O+","60","15"
"H_TRAUMA","O+","61","15"
"H_TRAUMA","O+","62","11"
"H_TRAUMA","O+","63","11"
"H_TRAUMA","O+","64","15"
"H_TRAUMA","O+","65","18"
"H_TRAUMA","O+","66","18"
"H_TRAUMA","O+","67","15"
"H_TRAUMA","O+","68","15"
"H_TRAUMA","O+","69","11"
"H_TRAUMA","O+","70","11"
"H_TRAUMA","O+","71","15"
"H_TRAUMA","O+","72","15"
"H_TRAUMA","O+","73","15"
"H_TRAUMA","O+","74","15"
"H_TRAUMA","O+","75","15"
"H_TRAUMA","O+","76","11"
"H_TRAUMA","O+","77","11"
"H_TRAUMA","O+","78","15"
"H_TRAUMA","O+","79","18"
"H_TRAUMA","O+","80","18"
"H_TRAUMA","O+","81","15"
"H_TRAUMA","O+","82","15"
"H_TRAUMA","O+","83","11"
"H_TRAUMA","O+","84","11"
"H_TRAUMA","O+","85","15"
"H_TRAUMA","O+","86","15"
"H_TRAUMA","O+","87","15"
"H_TRAUMA","O+","88","15"
"H_TRAUMA","O+","89","15"
"H_TRAUMA","O+","90","11"
"H_TRAUMA","O+","91","11"
"H_TRAUMA","O+","92","15"
"H_TRAUMA","O+","93","18"
"H_TRAUMA","O+","94","18"
"H_TRAUMA","O+","95","15"
"H_TRAUMA","O+","96","15"
"H_TRAUMA","O+","97","11"
"H_TRAUMA","O+","98","11"
"H_TRAUMA","O+","99","15"
"H_TRAUMA","O+","100","15"
"H_TRAUMA","O+","101","15"
"H_TRAUMA","O+","102","15"
"H_TRAUMA","O+","103","15"
"H_TRAUMA","O+","104","11"
"H_TRAUMA","O+","105","11"
"H_TRAUMA","O+","106","15"
"H_TRAUMA","O+","107","18"
"H_TRAUMA","O+","108","18"
"H_TRAUMA","O+","109","15"
"H_TRAUMA","O+","110","15"
"H_TRAUMA","O+","111","11"
"H_TRAUMA","O+","112","11"
"H_TRAUMA","O+","113","15"
"H_TRAUMA","O+","114","15"
"H_TRAUMA","O+","115","15"
"H_TRAUMA","O+","116","15"
"H_TRAUMA","O+","117","15"
"H_TRAUMA","O+","118","11"
"H_TRAUMA","O+","119","11"
"H_TRAUMA","O+","120","15"
"H_TRAUMA","O+","121","18"
"H_TRAUMA","O+","122","18"
"H_TRAUMA","O+","123","15"
"H_TRAUMA","O+","124","15"
"H_TRAUMA","O+","125","11"
"H_TRAUMA","O+","126","11"
"H_TRAUMA","O+","127","15"
"H_TRAUMA","O+","128","15"
"H_TRAUMA","O+","129","15"
"H_TRAUMA","O+","130","15"
"H_TRAUMA","O+","131","15"
"H_TRAUMA","O+","132","11"
"H_TRAUMA","O+","133","11"
"H_TRAUMA","O+","134","15"
"H_TRAUMA","O+","135","18"
"H_TRAUMA","O+","136","18"
"H_TRAUMA","O+","137","15"
"H_TRAUMA","O+","138","15"
"H_TRAUMA","O+","139","11"
"H_TRAUMA","O+","140","11"
"H_TRAUMA","O+","141","15"
"H_TRAUMA","O+","142","15"
"H_TRAUMA","O+","143","15"
"H_TRAUMA","O+","144","15"
"H_TRAUMA","O+","145","15"
"H_TRAUMA","O+","146","11"
"H_TRAUMA","O+","147","11"
"H_TRAUMA","O+","148","15"
"H_TRAUMA","O+","149","18"
"H_TRAUMA","O+","150","18"
"H_TRAUMA","O+","151","15"
"H_TRAUMA","O+","152","15"
"H_TRAUMA","O+","153","11"
"H_TRAUMA","O+","154","11"
"H_TRAUMA","O+","155","15"
"H_TRAUMA","O+","156","15"
"H_TRAUMA","O+","157","15"
"H_TRAUMA","O+","158","15"
"H_TRAUMA","O+","159","15"
"H_TRAUMA","O+","160","11"
"H_TRAUMA","O+","161","11"
"H_TRAUMA","O+","162","15"
"H_TRAUMA","O+","163","18"
"H_TRAUMA","O+","164","18"
"H_TRAUMA","O+","165","15"
"H_TRAUMA","O+","166","15"
"H_TRAUMA","O+","167","11"
"H_TRAUMA","O+","168","11"
"H_TRAUMA","O+","169","15"
"H_TRAUMA","O+","170","15"
"H_TRAUMA","O+","171","15"
"H_TRAUMA","O+","172","15"
"H_TRAUMA","O+","173","15"
"H_TRAUMA","O+","174","11"
"H_TRAUMA","O+","175","11"
"H_TRAUMA","O+","176","15"
"H_TRAUMA","O+","177","18"
"H_TRAUMA","O+","178","18"
"H_TRAUMA","O+","179","15"
"H_TRAUMA","O+","180","15"
"H_TRAUMA","O+","181","11"
"H_TRAUMA","O+","182","11"
"H_TRAUMA","O+","183","15"
"H_TRAUMA","O+","184","15"
"H_TRAUMA","O+","185","15"
"H_TRAUMA","O+","186","15"
"H_TRAUMA","O+","187","15"
"H_TRAUMA","O+","188","11"
"H_TRAUMA","O+","189","11"
"H_TRAUMA","O+","190","15"
"H_TRAUMA","O+","191","18"
"H_TRAUMA","O+","192","18"
"H_TRAUMA","O+","193","15"
"H_TRAUMA","O+","194","15"
"H_TRAUMA","O+","195","11"
"H_TRAUMA","O+","196","11"
"H_TRAUMA","O+","197","15"
"H_TRAUMA","O+","198","15"
"H_TRAUMA","O+","199","15"
"H_TRAUMA","O+","200","15"
"H_TRAUMA","O+","201","15"
"H_TRAUMA","O+","202","11"
"H_TRAUMA","O+","203","11"
"H_TRAUMA","O+","204","15"
"H_TRAUMA","O+","205","18"
"H_TRAUMA","O+","206","18"
"H_TRAUMA","O+","207","15"
"H_TRAUMA","O+","208","15"
"H_TRAUMA","O+","209","11"
"H_TRAUMA","O+","210","11"
"H_TRAUMA","O+","211","15"
"H_TRAUMA","O+","212","15"
"H_TRAUMA","O+","213","15"
"H_TRAUMA","O+","214","15"
"H_TRAUMA","O+","215","15"
"H_TRAUMA","O+","216","11"
"H_TRAUMA","O+","217","11"
"H_TRAUMA","O+","218","15"
"H_TRAUMA","O+","219","18"
"H_TRAUMA","O+","220","18"
"H_TRAUMA","O+","221","15"
"H_TRAUMA","O+","222","15"
"H_TRAUMA","O+","223","11"
"H_TRAUMA","O+","224","11"
"H_TRAUMA","O+","225","15"
"H_TRAUMA","O+","226","15"
"H_TRAUMA","O+","227","15"
"H_TRAUMA","O+","228","15"
"H_TRAUMA","O+","229","15"
"H_TRAUMA","O+","230","11"
"H_TRAUMA","O+","231","11"
"H_TRAUMA","O+","232","15"
"H_TRAUMA","O+","233","18"
"H_TRAUMA","O+","234","18"
"H_TRAUMA","O+","235","15"
"H_TRAUMA","O+","236","15"
"H_TRAUMA","O+","237","11"
"H_TRAUMA","O+","238","11"
"H_TRAUMA","O+","239","15"
"H_TRAUMA","O+","240","15"
"H_TRAUMA","O+","241","15"
"H_TRAUMA","O+","242","15"
"H_TRAUMA","O+","243","15"
"H_TRAUMA","O+","244","11"
"H_TRAUMA","O+","245","11"
"H_TRAUMA","O+","246","15"
"H_TRAUMA","O+","247","18"
"H_TRAUMA","O+","248","18"
"H_TRAUMA","O+","249","15"
"H_TRAUMA","O+","250","15"
"H_TRAUMA","O+","251","11"
"H_TRAUMA","O+","252","11"
"H_TRAUMA","O+","253","15"
"H_TRAUMA","O+","254","15"
"H_TRAUMA","O+","255","15"
"H_TRAUMA","O+","256","15"
"H_TRAUMA","O+","257","15"
"H_TRAUMA","O+","258","11"
"H_TRAUMA","O+","259","11"
"H_TRAUMA","O+","260","15"
"H_TRAUMA","O+","261","18"
"H_TRAUMA","O+","262","18"
"H_TRAUMA","O+","263","15"
"H_TRAUMA","O+","264","15"
"H_TRAUMA","O+","265","11"
"H_TRAUMA","O+","266","11"
"H_TRAUMA","O+","267","15"
"H_TRAUMA","O+","268","15"
"H_TRAUMA","O+","269","15"
"H_TRAUMA","O+","270","15"
"H_TRAUMA","O+","271","15"
"H_TRAUMA","O+","272","11"
"H_TRAUMA","O+","273","11"
"H_TRAUMA","O+","274","15"
"H_TRAUMA","O+","275","18"
"H_TRAUMA","O+","276","18"
"H_TRAUMA","O+","277","15"
"H_TRAUMA","O+","278","15"
"H_TRAUMA","O+","279","11"
"H_TRAUMA","O+","280","11"
"H_TRAUMA","O+","281","15"
"H_TRAUMA","O+","282","15"
"H_TRAUMA","O+","283","15"
"H_TRAUMA","O+","284","15"
"H_TRAUMA","O+","285","15"
"H_TRAUMA","O+","286","11"
"H_TRAUMA","O+","287","11"
"H_TRAUMA","O+","288","15"
"H_TRAUMA","O+","289","18"
"H_TRAUMA","O+","290","18"
"H_TRAUMA","O+","291","15"
"H_TRAUMA","O+","292","15"
"H_TRAUMA","O+","293","11"
"H_TRAUMA","O+","294","11"
"H_TRAUMA","O+","295","15"
"H_TRAUMA","O+","296","15"
"H_TRAUMA","O+","297","15"
"H_TRAUMA","O+","298","15"
"H_TRAUMA","O+","299","15"
"H_TRAUMA","O+","300","11"
"H_TRAUMA","O+","301","11"
"H_TRAUMA","O+","302","15"
"H_TRAUMA","O+","303","18"
"H_TRAUMA","O+","304","18"
"H_TRAUMA","O+","305","15"
"H_TRAUMA","O+","306","15"
"H_TRAUMA","O+","307","11"
"H_TRAUMA","O+","308","11"
"H_TRAUMA","O+","309","15"
"H_TRAUMA","O+","310","15"
"H_TRAUMA","O+","311","15"
"H_TRAUMA","O+","312","15"
"H_TRAUMA","O+","313","15"
"H_TRAUMA","O+","314","11"
"H_TRAUMA","O+","315","11"
"H_TRAUMA","O+","316","15"
"H_TRAUMA","O+","317","18"
"H_TRAUMA","O+","318","18"
"H_TRAUMA","O+","319","15"
"H_TRAUMA","O+","320","15"
"H_TRAUMA","O+","321","11"
"H_TRAUMA","O+","322","11"
"H_TRAUMA","O+","323","15"
"H_TRAUMA","O+","324","15"
"H_TRAUMA","O+","325","15"
"H_TRAUMA","O+","326","15"
"H_TRAUMA","O+","327","15"
"H_TRAUMA","O+","328","11"
"H_TRAUMA","O+","329","11"
"H_TRAUMA","O+","330","15"
"H_TRAUMA","O+","331","18"
"H_TRAUMA","O+","332","18"
"H_TRAUMA","O+","333","15"
"H_TRAUMA","O+","334","15"
"H_TRAUMA","O+","335","11"
"H_TRAUMA","O+","336","11"
"H_TRAUMA","O+","337","15"
"H_TRAUMA","O+","338","15"
"H_TRAUMA","O+","339","15"
"H_TRAUMA","O+","340","15"
"H_TRAUMA","O+","341","15"
"H_TRAUMA","O+","342","11"
"H_TRAUMA","O+","343","11"
"H_TRAUMA","O+","344","15"
"H_TRAUMA","O+","345","18"
"H_TRAUMA","O+","346","18"
"H_TRAUMA","O+","347","15"
"H_TRAUMA","O+","348","15"
"H_TRAUMA","O+","349","11"
"H_TRAUMA","O+","350","11"
"H_TRAUMA","O+","351","15"
"H_TRAUMA","O+","352","15"
"H_TRAUMA","O+","353","15"
"H_TRAUMA","O+","354","15"
"H_TRAUMA","O+","355","15"
"H_TRAUMA","O+","356","11"
"H_TRAUMA","O+","357","11"
"H_TRAUMA","O+","358","15"
"H_TRAUMA","O+","359","18"
"H_TRAUMA","O+","360","18"
"H_TRAUMA","O+","361","15"
"H_TRAUMA","O+","362","15"
"H_TRAUMA","O+","363","11"
"H_TRAUMA","O+","364","11"
"H_TRAUMA","O+","365","15"
"H_TRAUMA","A-","1","2"
"H_TRAUMA","A-","2","2"
"H_TRAUMA","A-","3","2"
"H_TRAUMA","A-","4","2"
"H_TRAUMA","A-","5","2"
"H_TRAUMA","A-","6","2"
"H_TRAUMA","A-","7","2"
"H_TRAUMA","A-","8","2"
"H_TRAUMA","A-","9","3"
"H_TRAUMA","A-","10","3"
"H_TRAUMA","A-","11","2"
"H_TRAUMA","A-","12","2"
"H_TRAUMA","A-","13","2"
"H_TRAUMA","A-","14","2"
"H_TRAUMA","A-","15","2"
"H_TRAUMA","A-","16","2"
"H_TRAUMA","A-","17","2"
"H_TRAUMA","A-","18","2"
"H_TRAUMA","A-","19","2"
"H_TRAUMA","A-","20","2"
"H_TRAUMA","A-","21","2"
"H_TRAUMA","A-","22","2"
"H_TRAUMA","A-","23","3"
"H_TRAUMA","A-","24","3"
"H_TRAUMA","A-","25","2"
"H_TRAUMA","A-","26","2"
"H_TRAUMA","A-","27","2"
"H_TRAUMA","A-","28","2"
"H_TRAUMA","A-","29","2"
"H_TRAUMA","A-","30","2"
"H_TRAUMA","A-","31","2"
"H_TRAUMA","A-","32","2"
"H_TRAUMA","A-","33","2"
"H_TRAUMA","A-","34","2"
"H_TRAUMA","A-","35","2"
"H_TRAUMA","A-","36","2"
"H_TRAUMA","A-","37","3"
"H_TRAUMA","A-","38","3"
"H_TRAUMA","A-","39","2"
"H_TRAUMA","A-","40","2"
"H_TRAUMA","A-","41","2"
"H_TRAUMA","A-","42","2"
"H_TRAUMA","A-","43","2"
"H_TRAUMA","A-","44","2"
"H_TRAUMA","A-","45","2"
"H_TRAUMA","A-","46","2"
